Keyword,Trending Score
drone,17.321428571428573
uno,17.32142857142857
nas,6.928571428571428
hands,5.773809523809524
touch,5.773809523809524
better,5.773809523809524
think,5.773809523809524
like,5.773809523809524
secrets,5.773809523809524
wish,5.773809523809524
wrong,5.773809523809524
power,5.773809523809524
alvik,5.773809523809524
docker,4.330357142857142
version,4.330357142857142
based,4.330357142857142
server,4.330357142857142
pcb,4.330357142857142
sensors,4.330357142857142
lego,4.330357142857142
